company,headline
Tamperelainen,Viime kaudella asiantuntijat lyönyt tekoälyennuste: Näin käy Ilvekselle ja Tapparalle pudotuspeleissä
Kainuun Sanomat,Kainuun datakeskusekosysteemi kansallisen kasvuohjelman pilotiksi
HS.fi,Geenidatan jakaminen voi olla peruuttamaton riski
Savon Sanomat,Tekoäly ennustaa Liigan voittajan - Näin KalPan käy
Tivi,"""Strateginen lähestymistapa tarpeen"" - Kansanedustaja kyseenalaistaa Suomen datakeskuspolitiikan"
Teknavi,Samsung vahvisti: Android 15 -pohjaisen One UI 7:n päivitykset alkavat 7. huhtikuuta - tällaisia tekoäly- ja muita uudistuksia uusi ohjelmisto sisältää
ETN,Tutkimus: Suurin osa Apple Storen sovelluksista vuotaa dataa
Mobiili.fi,Samsung vahvisti: Android 15 -pohjaisen One UI 7:n päivitykset alkavat 7. huhtikuuta - tällaisia tekoäly- ja muita uudistuksia uusi ohjelmisto sisältää
Yle,VR yrittää parantaa mobiilidatan ja puheluiden kuuluvuutta laseroimalla junien ikkunoita
Tivi,Datakeskusrakentaja tilittää: Hankkeita menee jäihin
Kauppalehti,Datakeskusrakentaja tilittää: Pahin alkoi jo
Länsiväylä,Microsoft | Asiantuntija Espoon ja Kirkkonummen datakeskusten tehosta: Todellinen syy ulkomaiset asiakkaat
Länsiväylä,Datakeskukset | Professori: Ilman datakeskuksia kaukolämmön hinta voisi nousta
ETN,Koneoppiminen dominoi tekoälymarkkinaa
Kansan Uutiset,"Kauhukuvat ylläpitävät hypeä - Entä, jos tuomiopäivän ennustaminenkin on osa tekoälyhuumaa?"
Mobiili.fi,"Apple-pomo sisäisessä tapaamisessa: Sirin tekoälyuudistusten myöhästyminen ""rumaa"" ja ""noloa"""
Aamuset,Koneoppiminen raivaa tietä tulevaisuuden joustaville biojalostamoille
Tivi,Jukka Toivasen mielestä tekoälyäkin kannattaa kehittää pilvessä
Talouselämä,"Tekoäly kieltäytyi tehtävästä, jota varten se oli tehty - ""Se olisi sinun työsi tekemistä"""
Tamperelainen,Viime kaudella asiantuntijat lyönyt tekoälyennuste: Näin käy Ilvekselle ja Tapparalle pudotuspeleissä
MTVuutiset.fi,Europolilta vakava varoitus tekoälystä
Kainuun Sanomat,Kainuun datakeskusekosysteemi kansallisen kasvuohjelman pilotiksi
Savon Sanomat,Tekoäly ennustaa Liigan voittajan - Näin KalPan käy
Errori.net,Tekoäly herättää huolta peliteollisuudessa
Teknavi,Samsung vahvisti: Android 15 -pohjaisen One UI 7:n päivitykset alkavat 7. huhtikuuta - tällaisia tekoäly- ja muita uudistuksia uusi ohjelmisto sisältää
Muropaketti.com,"Star Wars -sarja Andorin luoja ei jaa tuotoksiaan tekoälyn takia: ""Miksi auttaisin robotteja?"""
Mobiili.fi,Samsung vahvisti: Android 15 -pohjaisen One UI 7:n päivitykset alkavat 7. huhtikuuta - tällaisia tekoäly- ja muita uudistuksia uusi ohjelmisto sisältää
Tekniikan Maailma,Huawein kehittämä läppäri saapuu kohta - sisältää itse kehitetyn suorittimen ja kiinalaisen tekoälyn
AVPlus,Samsung tuo tekoälyn Galaxy A -sarjaan - uudet mallit esitelty
Teknavi,Nyt esiteltiin tekoälykynä - tämän kaiken joukkorahoitettava uutuus lupaa
Muropaketti.com,Huawein kehittämä läppäri saapuu kohta - sisältää itse kehitetyn suorittimen ja kiinalaisen tekoälyn
Tekniikka&Talous,"Hämmentävä läpimurto: Fyysikot eivät olleet uskoa silmiään, kun itsepäinen tekoäly intti inttämistään yhtä ja samaa - Lopulta se oli totta, kokeet paljastivat"
Mobiili.fi,Nyt esiteltiin tekoälykynä - tämän kaiken joukkorahoitettava uutuus lupaa
Tivi,"Nyt on nähty tämäkin: tekoäly kieltäytyi ainoasta tehtävästä, jota varten se on olemassa"
Suomen Kuvalehti,Päätoimittajien yhdistys nosti jalustalle tekoälyn - keksintö uhkaa vähentää toimittajien töitä
Gamereactor,Aloyn ääninäyttelijä kommentoi henkilöhahmonsa tekoälyversiota
ETN,Koneoppiminen dominoi tekoälymarkkinaa
Kainuun Sanomat,Korkeakoulujen kevään toinen yhteishaku avautuu tiistaina - Kajaanissa on tarjolla koulutusmahdollisuuksia varhaiskasvatuksesta data-analytiikkaan
Talouselämä,Datakeskusbisneksen kasvua uhkaa viisi kriittistä haastetta
KaaosZine,"""Teknologian ja tekoälyn kehittyessä musiikkimme futuristiset konseptit muuttuvat vähitellen todellisuudeksi"" - haastattelussa Cryptosis"
